name,class,dmg at lev,hitsToKill,floor,attack,defense,health,picture,ability,resistances,experience,treasureChance,treasurePackage,keywords,stunResistance,unitType,knockbackResistance,walkSpeed,listenRad,alertedListenRad,preferredRange,activateRange,chargeDist
Bat,swrm,8,0.5833333333,1,90,80,7,Bat,PROJECTILE -pic BatShot -cooldown 60 -speed 2 -damageType 2_MULTISHOT -pic BatShot -cooldown 100 -speed 2 -damageType 2,0_-0.3_0.3_-0.4_0_-0.3_0_-0.3_0.8_-0.3,20,0.05,F1SwarmEnemy,WaterWalking:1,0,1,0,4,90,200,190,230,80
Skeleton,Esy,10,2,1,100,100,20,Skeleton,PROJECTILE -pic SkeletonShot -cooldown 40 -speed 3 -damageType 8,0_0.3_0.6_-0.6_0.1_-0.5_0.4_-1_0.6_1,50,0.08,F1EasyEnemy,-:0,0,3,0,2,90,200,190,230,80
Mummy,Hrd,10,6,1,100,100,60,Mummy,MULTISHOT -pic SkeletonShot -cooldown 30 -speed 3 -damageType 8_DARKHOLE -pic DarkEffect -cooldown 100 -damage 2 -isSpell True_SPINNER -pic SkeletonShot -cooldown 201 -numShots 3 -damageType 8,0_0.2_0.4_-0.2_0.1_-0.8_-0.2_-1_0.8_1,100,0.14,F1HardEnemy,-:0,0.2,3,0.2,1,90,200,190,230,80
Slug,Med,14,2,1,120,100,20,Slug,PROJECTILE -pic SlugShot -cooldown 100 -speed 1 -damageType 3,0_-0.1_0.1_0.5_0_-0.2_0.3_-0.2_0.2_0.7,70,0.1,F1MedEnemy,WaterWalking:0.3,0.2,1,0.2,2,90,200,190,230,80
RedSlime,Esy,6,0.5714285714,1,80,130,4,RedSlime,PROJECTILE -pic RedSlimeShot -cooldown 80 -speed 2 -damageType 5_MULTISHOT -pic RedSlimeShot -cooldown 400 -speed 1 -damageType 5,0_0.7_0.8_0.4_-0.5_0.9_-1_-0.2_-0.3_-0.2,40,0.08,F1EasyEnemy,WaterWalking:0.8,0,2,0,2,90,200,190,230,80
BlueSlime,Esy,6,0.5714285714,1,80,130,4,BlueSlime,PROJECTILE -pic BlueSlimeShot -cooldown 80 -speed 2 -damageType 6_MULTISHOT -pic BlueSlimeShot -cooldown 400 -speed 1 -damageType 6,0_0.7_0.8_0.4_-0.5_-1_0.9_-0.2_-0.3_-0.2,40,0.08,F1EasyEnemy,WaterWalking:0.8,0,2,0,2,90,200,190,230,80
GreenSlime,Esy,6,0.5714285714,1,80,130,4,GreenSlime,PROJECTILE -pic GreenSlimeShot -cooldown 80 -speed 2 -damageType 9_MULTISHOT -pic GreenSlimeShot -cooldown 400 -speed 1 -damageType 9,0_0.7_0.8_0.4_-0.5_-0.2_-0.2_-0.2_-0.3_-0.2,40,0.08,F1EasyEnemy,WaterWalking:0.8,0,2,0,2,90,200,190,230,80
Orc,Esy,6,1.6666666667,1,80,80,20,Orc,PROJECTILE -pic Slash -cooldown 70 -speed 3 -damage 1 -range 55 -damageType 1,0_-0.2_-0.2_0.1_0_-0.1_-0.1_0_0_-0.2,50,0.08,F1EasyEnemy,-:0,0,4,0,2.5,90,200,190,230,45
OrcArmour,Med,6,4,1,80,150,20,OrcArmour,PROJECTILE -pic Slash -cooldown 80 -speed 3 -damage 2 -range 50 -damageType 1,0_0_0.3_-0.2_0_-0.1_-0.1_0_0_-0.2,70,0.1,F1MedEnemy,-:0,0,4,0,1.5,90,200,190,230,45
OrcSword,Med,16,1.6666666667,1,130,80,20,OrcSword,PROJECTILE -pic Slash -cooldown 70 -speed 3 -range 55 -damageType 1_FIREBALL -pic BigSlash -cooldown 200 -damageType 1,0_-0.2_-0.2_0.1_0_-0.1_-0.1_0_0_-0.2,70,0.1,F1MedEnemy,-:0,0,4,0,2.5,90,200,190,230,45
