Loading Pygame.
Pygame Loaded.  Initializing.
Pygame Initialized.
Loading Items
Loading Enemies
Loading Enemies
         7511743 function calls (7421231 primitive calls) in 74.045 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   74.045   74.045 <string>:1(<module>)
        1    0.005    0.005    0.010    0.010 Abilities.py:1(<module>)
    25671    0.115    0.000    0.115    0.000 Abilities.py:105(update)
        4    0.000    0.000    0.000    0.000 Abilities.py:111(getStunFactor)
        1    0.000    0.000    0.000    0.000 Abilities.py:120(BasicAttack)
        4    0.000    0.000    0.000    0.000 Abilities.py:136(__init__)
        1    0.000    0.000    0.000    0.000 Abilities.py:166(EnemyAbility)
       78    0.003    0.000    0.011    0.000 Abilities.py:167(__init__)
       78    0.004    0.000    0.006    0.000 Abilities.py:189(parseParameters)
        4    0.000    0.000    0.001    0.000 Abilities.py:204(calcDamage)
        4    0.000    0.000    0.004    0.001 Abilities.py:210(hitTarget)
        1    0.000    0.000    0.000    0.000 Abilities.py:216(EnemyShotAbil)
       76    0.001    0.000    0.012    0.000 Abilities.py:217(__init__)
      220    0.002    0.000    0.003    0.000 Abilities.py:220(use)
        1    0.000    0.000    0.000    0.000 Abilities.py:229(EnemyProjectileShotAbil)
       76    0.001    0.000    0.013    0.000 Abilities.py:231(__init__)
       44    0.002    0.000    0.030    0.001 Abilities.py:239(useCallback)
        1    0.000    0.000    0.000    0.000 Abilities.py:243(EnemyMultiShotAbil)
       12    0.000    0.000    0.002    0.000 Abilities.py:246(__init__)
        1    0.000    0.000    0.001    0.001 Abilities.py:251(useCallback)
        1    0.000    0.000    0.000    0.000 Abilities.py:256(EnemyFireball)
        1    0.000    0.000    0.000    0.000 Abilities.py:260(__init__)
        1    0.000    0.000    0.000    0.000 Abilities.py:293(EnemyDarkHole)
        1    0.000    0.000    0.000    0.000 Abilities.py:315(EnemySpinnerAbil)
        1    0.000    0.000    0.000    0.000 Abilities.py:319(__init__)
        2    0.000    0.000    0.001    0.001 Abilities.py:327(useCallback)
        1    0.000    0.000    0.000    0.000 Abilities.py:333(EnemyProjectileBarrierAbil)
        1    0.000    0.000    0.000    0.000 Abilities.py:349(PlayerAbility)
        4    0.000    0.000    0.000    0.000 Abilities.py:35(getKnockbackAmount)
        1    0.000    0.000    0.000    0.000 Abilities.py:367(PowerAttack)
        1    0.000    0.000    0.000    0.000 Abilities.py:390(TripleAttack)
